Channel,X,Y,Z
Nose,0.0,0.8315,-0.5556
Nz,0.0,0.9239,-0.3827
NFpz,0.0,0.9808,-0.1951
Fpz,0.0,1.0,0.0
AFpz,0.0,0.9808,0.1951
AFz,0.0,0.9239,0.3827
AFFz,0.0,0.8315,0.5556
Fz,0.0,0.7071,0.7071
FFCz,0.0,0.5556,0.8315
FCz,0.0,0.3827,0.9239
FCCz,0.0,0.1951,0.9808
Cz,0.0,0.0,1.0
CCPz,0.0,-0.1951,0.9808
CPz,0.0,-0.3827,0.9239
CPPz,0.0,-0.5556,0.8315
Pz,0.0,-0.7071,0.7071
PPOz,0.0,-0.8315,0.5556
POz,0.0,-0.9239,0.3827
POOz,0.0,-0.9808,0.1951
Oz,0.0,-1.0,0.0
OIz,0.0,-0.9808,-0.1951
Iz,0.0,-0.9239,-0.3827
N1h,-0.1445,0.9125,-0.3827
N1,-0.2855,0.8787,-0.3827
AFp9,-0.4194,0.8232,-0.3827
AF9,-0.543,0.7474,-0.3827
AFF9,-0.6533,0.6533,-0.3827
F9,-0.7474,0.543,-0.3827
FFT9,-0.8232,0.4194,-0.3827
FT9,-0.8787,0.2855,-0.3827
FTT9,-0.9125,0.1445,-0.3827
T9,-0.9239,0.0,-0.3827
TTP9,-0.9125,-0.1445,-0.3827
TP9,-0.8787,-0.2855,-0.3827
TPP9,-0.8232,-0.4194,-0.3827
P9,-0.7474,-0.543,-0.3827
PPO9,-0.6533,-0.6533,-0.3827
PO9,-0.543,-0.7474,-0.3827
POO9,-0.4194,-0.8232,-0.3827
I1,-0.2855,-0.8787,-0.3827
I1h,-0.1445,-0.9125,-0.3827
NFp1h,-0.1534,0.9687,-0.1951
NFp1,-0.3031,0.9328,-0.1951
AFp9h,-0.4453,0.8739,-0.1951
AF9h,-0.5765,0.7935,-0.1951
AFF9h,-0.6935,0.6935,-0.1951
F9h,-0.7935,0.5765,-0.1951
FFT9h,-0.8739,0.4453,-0.1951
FT9h,-0.9328,0.3031,-0.1951
FTT9h,-0.9687,0.1534,-0.1951
T9h,-0.9808,0.0,-0.1951
TTP9h,-0.9687,-0.1534,-0.1951
TP9h,-0.9328,-0.3031,-0.1951
TPP9h,-0.8739,-0.4453,-0.1951
P9h,-0.7935,-0.5765,-0.1951
PPO9h,-0.6935,-0.6935,-0.1951
PO9h,-0.5765,-0.7935,-0.1951
POO9h,-0.4453,-0.8739,-0.1951
OI1,-0.3031,-0.9328,-0.1951
OI1h,-0.1534,-0.9687,-0.1951
Fp1h,-0.1564,0.9877,0.0
Fp1,-0.309,0.9511,0.0
AFp7,-0.454,0.891,0.0
AF7,-0.5878,0.809,0.0
AFF7,-0.7071,0.7071,0.0
